county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Alamance,North Carolina,7517,0.028688863789834085,0.46153846153846156,156372,2298,17.098560247,52,4.6981696845,369.306711669068,17.954704364,3.6707494136,381.79810085,557.9,2323.3532934,4807.126595554191,1469.5725577469111,4807.126595554191
Alameda,California,31225,0.03058997675917738,0.875,1605217,12714,9.7327103382,44,5.207726732,2171.87426566942,12.412219044,2.9999469474,628.78196249,553.2,1140.8149379,1945.219867469632,792.0424465975628,1945.219867469632
Albany,New York,6406,-25.393298514640293,0.995575221238938,176219.82409177825,1822.831739961759,15.075808628780116,49.07456978967495,5.24260355929675,306.09045995529317,14.990463108730403,3.489242304028298,245.68914469669213,552.323326959847,1057.9141023982793,3635.232320209131,1034.4078762741233,3635.232320209131
Albemarle,Virginia,1979,0.02580039283183066,0.5,104287,846,13.818236126,59,4.5693484993,144.681915489282,12.788913677,2.6742750836,100.24372051,309.2,597.05926036,1897.6478372184451,811.2228753344136,1897.6478372184451
Alcona,Michigan,251,0.020309463718676025,0.6666666666666666,10461,224,16.050088064,28,4.08753806,15.5075449981893,14.749692104,6.5796344648,120.47612163,144.9,2256.6995769,2399.3882038046077,2141.286683873435,2399.3882038046077
Alexander,North Carolina,1731,-1.796162546813771,0.8946135831381733,22661.766045548648,380.6832298136645,18.972625583039335,38.6231884057971,4.433863369980331,88.52465029693975,19.949712585016563,5.468399521183436,734.674269141822,459.68592132505177,4029.502487601864,7638.416161038838,1679.8480270624827,7638.416161038838
Alexandria city,Virginia,5513,0.028769477291734437,0.5,151473,923,15.073357652,47,4.1449480642,10065.0769776253,14.814075957,2.2458146182,186.36743433,463,2288.5739991,3639.5925346431377,609.3495210367524,3639.5925346431377
Alfalfa,Oklahoma,406,0.021367507664966007,0.6666666666666666,5784,75,16.869086679,33,3.81274335,6.67548209591984,16.744819497,2.1768707483,135.62770196,169.3,2851.3238289,7019.363762102352,1296.680497925311,7019.363762102352
Alger,Michigan,373,0.02921332581845076,0.5,9396,112,17.608933881,36,4.0878315666,10.2680018777661,15.404847507,7.8322540857,206.74300254,164.5,1622.7180527,3969.774372073223,1191.9965942954448,3969.774372073223
Allamakee,Iowa,912,0.020935859059707213,0.5333333333333333,14001,169,16.187211296,41,4.4777721935,21.9080037790876,14.527962439,3.0681509639,39.388405486,151.3,2506.546951,6513.820441397043,1207.0566388115135,6513.820441397043
